time,agent_id,stress
17:00,1,189
17:00,6,176
17:00,9,187
17:00,2,185
17:00,4,212
17:00,3,200
17:00,6,182
17:00,1,198
17:00,8,193
17:30,5,210
17:30,0,169
17:30,7,174
17:30,0,177
17:30,1,207
17:30,5,217
17:30,2,194
17:30,9,189
17:30,3,208
17:30,4,219
18:00,6,182
18:00,7,184
18:00,8,197
18:00,4,223
18:00,9,193
18:30,6,192
18:30,2,195
18:30,1,217
18:30,8,197
18:30,3,218
18:30,5,221
18:30,7,194
18:30,0,181
18:30,7,204
19:00,9,202
19:00,6,196
19:00,4,223
19:00,3,225
19:00,2,202
19:00,1,217
19:00,0,188
19:00,8,197
19:00,5,223
19:00,4,233
19:00,7,205
19:00,6,203
19:30,5,223
19:30,3,228
19:30,9,211
19:30,2,210
19:30,0,194
19:30,8,200
19:30,1,226
19:30,2,215
19:30,8,208
20:00,9,215
20:00,5,225
20:00,4,243
20:00,0,204
20:00,3,228
20:00,7,205
20:00,1,232
20:00,6,207
20:00,2,218
20:00,9,216
20:00,4,252
20:00,3,233
20:00,7,205
20:00,6,209
20:00,1,238
20:00,0,211
20:30,8,209
20:30,5,234
20:30,3,238
20:30,7,211
20:30,6,219
20:30,9,216
20:30,1,246
21:00,2,220
21:00,8,209
21:00,0,213
21:00,4,256
21:00,5,243
21:00,9,222
21:00,8,211
21:00,1,256
21:30,5,246
21:30,3,238
21:30,4,256
21:30,6,220
21:30,0,219
21:30,7,221
21:30,2,226
21:30,2,226
21:30,6,221
21:30,0,220
21:30,8,215
21:30,5,246
21:30,7,223
22:00,3,243
22:00,9,229
22:00,1,259
22:00,4,265
22:00,5,252
22:00,8,222
22:00,2,231
22:00,7,233
22:30,6,224
22:30,0,227
22:30,9,236
22:30,4,275
22:30,1,261
22:30,3,246
22:30,6,232
22:30,2,235
23:00,4,285
23:00,9,242
23:00,1,271
23:00,8,227
23:00,3,248
23:00,0,231
23:00,5,256
23:00,7,240
23:00,3,255
23:00,7,249
23:00,1,271
23:00,5,257
23:00,0,231
23:00,6,241
23:00,2,245
23:00,4,285
23:00,8,236
23:00,9,246
